Año,Trimestre,Ingresos (miles de $)
2013,1,13135235
2013,2,13970806
2013,3,15235659
2013,4,16218846
2014,1,15938353
2014,2,17680972
2014,3,18976053
2014,4,20012332
2015,1,19337342
2015,2,19945453
2015,3,21785238
2015,4,24881967
2016,1,24763052
2016,2,25353971
2016,3,27416177
2016,4,30143233
2017,1,31205565
2017,2,33509264
2017,3,35711689
2017,4,38110028
2018,1,38733946
2018,2,40653502
2018,3,43280089
2018,4,44026803
2019,1,50246691
2019,2,55338816
2019,3,60905891
2019,4,65388842
2020,1,72077147
2020,2,73538944
2020,3,79634755
2020,4,83479114
2021,1,93112153
2021,2,104782020
2021,3,117751925
2021,4,127389786
2022,1,130454676
2022,2,153032313
2022,3,174057836
