Provincia,Partido,Localidad,Link Indec,Otros,"0,256 mbps","0,375 mbps","0,5 mbps","0,512 mbps","0,625 mbps","0,75 mbps",1 mbps,"1,25 mbps","1,5 mbps",2 mbps,"2,2 mbps","2,5 mbps",3 mbps,"3,3 mbps","3,5 mbps",4 mbps,"4,5 mbps",5 mbps,6 mbps,"6,4 mbps",7 mbps,"7,5 mbps",8 mbps,9 mbps,10 mbps,11 mbps,12 mbps,13 mbps,14 mbps,15 mbps,16 mbps,17 mbps,18 mbps,19 mbps,20 mbps,21 mbps,22 mbps,23 mbps,24 mbps,25 mbps,"25,1 mbps","25,11 mbps","25,5 mbps",26 mbps,30 mbps,31 mbps,32 mbps,34 mbps,35 mbps,36 mbps,38 mbps,39 mbps,40 mbps,41 mbps,45 mbps,46 mbps,49 mbps,50 mbps,55 mbps,58 mbps,59 mbps,60 mbps,61 mbps,62 mbps,64 mbps,65 mbps,66 mbps,70 mbps,75 mbps,78 mbps,80 mbps,82 mbps,83 mbps,85 mbps,90 mbps,92 mbps,95 mbps,100 mbps
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,,,,2,,,19,,,,,,,85,,145,,,,173,,,,299,,144,,"4,134",,,415,,,,,604,,,,,211,,,,,59,,,,,,,,37,,,,,,,,,,,,,,,,,,9,,,,,,,
BUENOS AIRES,25 de Mayo,Agustín Mosconi,6854010,,,,,,,,,,,,,,,,,,,,45,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,25 de Mayo,Del Valle,6854020,,,,1,,,,,,,,,,181,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,25 de Mayo,Ernestina,6854030,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,,,,,,,,,,,106,,,3,,,56,,7,3,,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
BUENOS AIRES,25 de Mayo,Lucas Monteverde,6854050,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,,,,,,,,,,,161,,,38,,,15,,15,876,,,,,,1,,,,,141,,,,,,,,,,34,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,25 de Mayo,Pedernales,6854070,,,,,,,,,,,,,,395,,,173,,,2,,,,,,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,25 de Mayo,San Enrique,6854080,,,,,,,,,,,,,,,,,,,,85,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,25 de Mayo,Valdés,6854090,,,,,,,,,,,,,,,,,,,,33,,,,,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,9 de Julio,12 de Octubre,6588030,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,9 de Julio,9 de Julio,6588100,1,,,,,,9,,,,,,,198,,114,,,154,"4,942",,235,,98,,"2,652",,55,,,"1,094",,,3,,"1,008",,,,,131,,,,,311,,,,,,,,,,,,,"1,816",,,,,,,,,,,,,,,,,,,,"1,343"
BUENOS AIRES,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),6588010,,,,,,,,,,,,,,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,9 de Julio,Dudignac,6588040,,,,,,,,8,,,,,,25,,,247,,,46,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),6588060,,,,,,,,1,,,199,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,9 de Julio,Patricios,6588110,,,,,,,,,,,,,,,,,,,,16,,,,,,41,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120,,,,,,,,,,,,,,42,,,,,,20,,,,,,33,,,,,1,,,,,25,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,,,,,,,,,,,,,,793,,20,,,,,,103,,36,,,,,,,"1,231",,,,,,,,,,,,,,,1,266,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,3
BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,6007020,,,,,,,,,,,,,,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Adolfo Alsina,Esteban Agustín Gascón,6007050,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
